"NZ_16_ASCII","FIN_ID","SKRJ_ID","HAFAS_ID","EPA_ID"
"NOWA S”L","0133","042002","5100043","00078"
"Bytom OdrzaÒski","7069","042127","5100654","00969"
"Przysieka Stara","7410","042689","5102978","00569"
"Krzemieniewo","7225","042721","5101852",""
"Krzyø Rudno","7571","043182","","00057"
"CzempiÒ","0503","043448","5100771","01005"
"WieruszÛw","7532","045591","5104180","00695"
"PerzÛw","7360","045781","5102727",""
"Granowiec","7157","046078","5101073",""
"Gomunice","1133","047852","5101226","00374"
"Stawy","2238","049866","5103693",""
"Biskupice","2030","050674","5100488",""
"CierpigÛrz","1083","039727","5100733",""
"SarnÛw","1406","040121","5103262",""
"CHOJN”W","0902","054007","5100793","00845"
"åWIDNICA MIASTO","0213","054817","5103327","00665"
"Marcinowice åw.","6263","054833","5102348",""
"Besko","3031","083675","5100416","00282"
"Za≥uø","3346","083832","5104355",""
"Kroúcienko","3143","083956","5101621",""
"Szczawne Kul.","3297","084087","5103516","01038"
"Stare Berezowo","1429","118273","5103276",""
"HREBENNE GR","8806","085795","",""
"MEDYKA GR","8812","084657","",""
"GOLENI”W","0506","001404","5100105","00387"
"Wolin","8443","001644","5104106","00981"
"Ulikowo","8420","002212","5103903",""
"Gogolewo","8120","002220","5101220",""
"Dolice","8100","002386","5100959",""
"Linie","8199","002923","5102016",""
"CzarnobÛr","8077","003145","5100776",""
"Sycewice","8374","004853","5103295","00913"
"Wrzeúcie","5703","005322","5103956","00899"
"RÛg","8314","005686","5106555",""
"GDYNIA G£”WNA","0041","005900","5100010","00023"
"Sopot Kam. Pot.","5578","005959","5103557",""
"Gdynia W. Kack","5178","006130","5101124",""
"W≥adys≥. Port","5695","006817","5104073","00900"
"PSZCZ”£KI","0516","007088","5102921","00333"
"Budwity","5061","008045","5100621",""
"åwiÍty KamieÒ","5636","008334","5103694",""
"Zblewo","5722","008680","5104266",""
"Waplewo","5668","009464","5103935","00809"
"Kosewo","5292","009928","5101731",""
"Wysoka Braniew.","5707","011296","5104208",""
"Wilkasy","1519","012161","5104041",""
"LipiÒskie Ma≥e","1241","012245","5102057","00822"
"Roúcin KrajeÒski","8313","013680","5103143",""
"Nowiny Wielkie","8256","014035","5100297","00958"
"Chwiram","8066","014902","",""
"Ko≥acz","8177","003657","5101734",""
"BIA£OGARD","0004","003905","5100001","00004"
"Podczele","8280","004119","5102697",""
"Nisko Podwolina","2165","065128","5102440",""
"ZbydniÛw","2305","065169","5104274",""
